"Gene","Cluster","logFC","pValue","padj"
"V18685",1,0.950708951834903,1.8051530432613e-05,0.050108885414346
"V23476",1,0.964726220652817,4.79538586561971e-05,0.050108885414346
"V39853",1,0.965566235244183,5.55579893733438e-05,0.050108885414346
"V24593",2,0.946716192130863,0.00014237894949335,0.050108885414346
"V41173",2,0.935806501348898,0.00014594206849308,0.050108885414346
"V8408",1,0.954022019724694,0.00015295389383363,0.050108885414346
"V7541",1,0.966737632662914,0.00017204099640129,0.050108885414346
"V36814",2,0.958423783889767,0.00017417310166786,0.050108885414346
"V15750",2,0.955952098879082,0.00022657058102365,0.050108885414346
"V8869",1,0.96438189929014,0.00022812950860468,0.050108885414346
"V26522",2,0.953789730502822,0.00023455090475269,0.050108885414346
"V2577",1,0.970597125286123,0.00024621485820387,0.050108885414346
"V22353",3,0.968907735482858,0.00027166946697832,0.050108885414346
"V28397",2,0.951494355196864,0.00029810970088656,0.050108885414346
"V35250",1,0.972758216861161,0.00030283359920615,0.050108885414346
"V13495",1,0.96437325463288,0.00030954856383601,0.050108885414346
"V714",2,0.970275154733632,0.00033343026457027,0.050108885414346
"V21425",2,0.955286589006699,0.00034256367597655,0.050108885414346
"V25187",2,0.941014921666132,0.00035914027963903,0.050108885414346
"V30920",1,0.969509997068682,0.00036413746603438,0.050108885414346
"V23985",1,0.913350411532481,0.00041732080332113,0.050108885414346
"V24946",1,0.973376736138989,0.00042097789258161,0.050108885414346
"V31247",3,0.981955751093026,0.00042691426140613,0.050108885414346
"V2195",2,0.954933582078695,0.00044602252343512,0.050108885414346
"V22007",1,0.975739086925696,0.00049668741856005,0.050108885414346
"V13965",1,0.978234447816157,0.00049999523073795,0.050108885414346
"V21983",2,0.971714683236519,0.00050689097124816,0.050108885414346
"V4211",2,0.971756633678047,0.00050886889042428,0.050108885414346
"V1078",2,0.971515732578763,0.00051736188719133,0.050108885414346
"V9035",1,0.969650148069494,0.00051802616680276,0.050108885414346
"V33062",1,0.959639457389573,0.00054079368185005,0.050108885414346
"V6983",2,0.941392943714861,0.00055434750344242,0.050108885414346
"V1678",2,0.971552509104498,0.00057304491906522,0.050108885414346
"V6291",3,0.98004499610448,0.0005763853747788,0.050108885414346
"V31995",3,0.954642014353082,0.00057910112423542,0.050108885414346
"V44096",1,0.960792835212304,0.00058593203538424,0.050108885414346
"V43265",1,0.951503542922343,0.00058672966193969,0.050108885414346
"V43570",1,0.968393348429794,0.00061405546809082,0.050108885414346
"V42009",1,0.974412760617206,0.00062802341830087,0.050108885414346
"V39987",2,0.973852154269617,0.00063076957583607,0.050108885414346
"V26807",2,0.957414952862552,0.00063534376098492,0.050108885414346
"V22749",3,0.970405999221914,0.00063919706807539,0.050108885414346
"V15633",1,0.958245026542279,0.0006408980029563,0.050108885414346
"V40611",3,0.981328962725199,0.00064825526002479,0.050108885414346
"V27373",3,0.967885768473933,0.00066166427523373,0.050108885414346
